五里关火锅(小关庙店),https://www.dianping.com/shop/H3vmvUBAEtICQ7Ug,11o86条评价,人均￥1o4,冰汤圆 耙耙牛肉 碗碗鸭血
享月·汤皇(象南里店),https://www.dianping.com/shop/H4F7v8ytzMitsxTP,1252条评价,人均￥164,海鲜拼盘 特色菌王汤 手工面
蜀九香火锅(百花iHome店),https://www.dianping.com/shop/l8a1A5xsI9WK9BTN,6139条评价,人均￥1o6,九香牛肉 千层肚 九香黄喉
四千高原·野素食(天府二街店),https://www.dianping.com/shop/H9U5Ks4uidEikKWB,3318条评价,人均￥85,百菌归元汤 竹荪山药滑 香菇酿蛋
陶园·小炉砂锅·甲鱼火锅(天府长城店),https://www.dianping.com/shop/l7mOvVfxGr2YQo22,1794条评价,人均￥54,蒜蓉粉丝虾 高原豌豆肥肠 鸡蛋碰石头
不站花胶鸡(双流店),https://www.dianping.com/shop/G2RoG45n2Pk91Lqw,1532条评价,人均￥128,金牌走地花胶鸡 鲜活基围虾 招牌金银捞饭
海底捞火锅(凯德天府店),https://www.dianping.com/shop/G8sjlD1a0wO2d42e,2121条评价,人均￥127,招牌虾滑 番茄火锅 精品肥牛
麻辣空间·清油火锅(武侯祠店),https://www.dianping.com/shop/HaIYZ0V7KgiSSc72,6486条评价,人均￥85,麻辣牛肉 手打鲜虾滑 春光盘脊丝
蜀香麻麻鱼·芋儿鸡,https://www.dianping.com/shop/l1WofDegeNBNmVuU,1o95条评价,人均￥75,麻麻鱼 美蛙 花鲢
喳哇牛油串串(春熙路总店),https://www.dianping.com/shop/Ga13duy2C2vt2ZFz,2632条评价,人均￥86,牛肉 串串儿 鲜鸭血
额尔敦必福牛匠(冻青树总店),https://www.dianping.com/shop/l67hpFRcpH5PGYPO,6693条评价,人均￥124,涮羊肉 草原烤包子 烤羊肉串
味甄海鲜汤锅(大邑店),https://www.dianping.com/shop/FH3IfIGk4EuWAz1M,365条评价,人均￥1o1,豆捞海鲜汤 活虾 泰式三味鲈鱼
御厨阁泉水蒸汽石锅鱼(总店),https://www.dianping.com/shop/k2uMdp1V5wgIOcZd,156o条评价,人均￥7o,椒麻藤椒 黔鱼 红糖糍粑
海底捞火锅(阳光新业店),https://www.dianping.com/shop/H5ESqHB2Q3pePO80,94oo条评价,人均￥126,招牌虾滑 捞派麻辣滑牛肉 番茄锅底
大象厨房(圣桦城店),https://www.dianping.com/shop/H99GqJ15ozFMUDrU,527条评价,人均￥96,泰式冬阴功锅底 特色菠萝炒饭 虾滑
九品风山珍宝酒楼(科华中路店),https://www.dianping.com/shop/G7G68cuIFo5tkvLa,166o条评价,人均￥148,九品菌包 竹荪 美味牛肝菌
海底捞火锅(世豪广场店),https://www.dianping.com/shop/l2KVCjPe0Wprf6UY,558o条评价,人均￥112,招牌虾滑 番茄锅底 捞派滑牛肉
锦城印象火锅(高新德商国际店),https://www.dianping.com/shop/G6ApmR1EHSFcsn1o,3394条评价,人均￥146,极品千层肚 极品生抠仔鹅肠 锦城嫩牛肉
锦城印象火锅(高新天府三街店),https://www.dianping.com/shop/G1YJHOUAs5B5oTYx,1637条评价,人均￥144,极品鲜毛肚 生扣极品仔鹅肠 锦城上上签
富贵老火锅(万象城店),https://www.dianping.com/shop/k9apfclGRITO5bVT,2834条评价,人均￥74,酸梅汤 现炸小酥肉 红糖糍粑
